Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddBooking,Chrome 67.0.3396.99,,2018-07-24 18:27:42,2018-07-24 18:28:30,48.012s,PASSED
,,,,,,
Test Cases/CRM/AddBooking,Chrome 67.0.3396.99,,2018-07-24 18:27:43,2018-07-24 18:28:30,47.376s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 18:27:44,2018-07-24 18:27:47,3.522s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 18:27:47,2018-07-24 18:27:49,2.227s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-24 18:27:49,2018-07-24 18:27:50,1.170s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:50,2018-07-24 18:27:51,0.410s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 18:27:51,2018-07-24 18:27:51,0.388s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:51,2018-07-24 18:27:52,0.427s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:52,2018-07-24 18:27:52,0.133s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:52,2018-07-24 18:27:52,0.166s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:52,2018-07-24 18:27:53,0.938s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:53,2018-07-24 18:27:53,0.245s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-24 18:27:53,2018-07-24 18:27:54,0.673s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:54,2018-07-24 18:27:54,0.424s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-24 18:27:54,2018-07-24 18:27:54,0.107s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:27:54,2018-07-24 18:27:55,0.352s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:55,2018-07-24 18:27:55,0.362s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:27:55,2018-07-24 18:27:55,0.355s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:27:55,2018-07-24 18:27:56,0.338s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:27:56,2018-07-24 18:27:56,0.492s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:27:56,2018-07-24 18:27:57,0.253s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:57,2018-07-24 18:27:57,0.237s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:57,2018-07-24 18:27:57,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:57,2018-07-24 18:27:57,0.168s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:57,2018-07-24 18:27:57,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:57,2018-07-24 18:27:58,0.244s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:58,2018-07-24 18:27:58,0.774s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:58,2018-07-24 18:27:59,0.610s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:27:59,2018-07-24 18:27:59,0.174s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:59,2018-07-24 18:27:59,0.299s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:27:59,2018-07-24 18:28:00,0.379s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:00,2018-07-24 18:28:00,0.527s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:00,2018-07-24 18:28:01,0.377s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:01,2018-07-24 18:28:01,0.589s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:01,2018-07-24 18:28:02,0.239s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:02,2018-07-24 18:28:02,0.349s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:02,2018-07-24 18:28:02,0.430s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:02,2018-07-24 18:28:03,0.617s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:03,2018-07-24 18:28:03,0.257s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:03,2018-07-24 18:28:04,0.536s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:04,2018-07-24 18:28:04,0.194s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-24 18:28:04,2018-07-24 18:28:04,0.036s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-24 18:28:04,2018-07-24 18:28:04,0.216s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:04,2018-07-24 18:28:04,0.264s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-24 18:28:04,2018-07-24 18:28:08,4.081s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-24 18:28:08,2018-07-24 18:28:09,0.078s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:09,2018-07-24 18:28:09,0.344s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:09,2018-07-24 18:28:09,0.134s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:09,2018-07-24 18:28:09,0.163s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:09,2018-07-24 18:28:10,0.809s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 18:28:10,2018-07-24 18:28:10,0.231s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 18:28:10,2018-07-24 18:28:11,0.341s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-24 18:28:11,2018-07-24 18:28:11,0.137s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:28:11,2018-07-24 18:28:11,0.396s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:28:11,2018-07-24 18:28:12,0.375s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:28:12,2018-07-24 18:28:12,0.527s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 18:28:12,2018-07-24 18:28:12,0.299s,PASSED
