Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddDriver,Chrome 67.0.3396.99,,2018-07-11 17:40:56,2018-07-11 17:41:21,25.107s,FAILED
,,,,,,
Test Cases/CRM/AddDriver,Chrome 67.0.3396.99,,2018-07-11 17:40:57,2018-07-11 17:41:21,23.722s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 17:40:58,2018-07-11 17:41:01,3.789s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-11 17:41:01,2018-07-11 17:41:07,5.642s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 17:41:07,2018-07-11 17:41:08,1.186s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:08,2018-07-11 17:41:09,0.378s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:09,2018-07-11 17:41:09,0.204s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:09,2018-07-11 17:41:10,1.375s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-11 17:41:10,2018-07-11 17:41:11,0.569s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:11,2018-07-11 17:41:11,0.152s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:11,2018-07-11 17:41:11,0.203s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:11,2018-07-11 17:41:12,1.365s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:12,2018-07-11 17:41:13,0.527s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:13,2018-07-11 17:41:13,0.187s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:13,2018-07-11 17:41:13,0.297s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:13,2018-07-11 17:41:14,0.154s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.099s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.121s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.018s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.121s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.101s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.078s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:14,0.017s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:14,2018-07-11 17:41:15,0.161s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:15,2018-07-11 17:41:15,0.179s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:15,2018-07-11 17:41:15,0.135s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:15,2018-07-11 17:41:15,0.327s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:15,2018-07-11 17:41:16,0.274s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:41:16,2018-07-11 17:41:16,0.249s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:16,2018-07-11 17:41:16,0.146s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:16,2018-07-11 17:41:16,0.140s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:16,2018-07-11 17:41:16,0.150s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:41:16,2018-07-11 17:41:16,0.107s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-11 17:41:16,2018-07-11 17:41:17,0.376s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:17,2018-07-11 17:41:17,0.017s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:17,2018-07-11 17:41:18,1.044s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:18,2018-07-11 17:41:18,0.532s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:41:18,2018-07-11 17:41:18,0.071s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:18,2018-07-11 17:41:19,0.139s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-11 17:41:19,2018-07-11 17:41:19,0.373s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:19,2018-07-11 17:41:20,1.040s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:20,2018-07-11 17:41:20,0.164s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:41:20,2018-07-11 17:41:20,0.014s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:41:20,2018-07-11 17:41:20,0.057s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:41:20,2018-07-11 17:41:21,0.529s,FAILED
