Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddLocation,Chrome 67.0.3396.99,,2018-07-12 19:48:51,2018-07-12 19:50:16,1m - 24.704s,PASSED
,,,,,,
Test Cases/CRM/AddLocation,Chrome 67.0.3396.99,,2018-07-12 19:48:51,2018-07-12 19:50:16,1m - 24.129s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-12 19:48:52,2018-07-12 19:48:56,3.701s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-12 19:48:56,2018-07-12 19:49:37,40.825s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-12 19:49:37,2018-07-12 19:49:38,1.190s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 19:49:38,2018-07-12 19:49:38,0.319s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 19:49:38,2018-07-12 19:49:38,0.166s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:49:38,2018-07-12 19:49:44,5.402s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:49:44,2018-07-12 19:49:44,0.144s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:49:44,2018-07-12 19:49:44,0.161s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:49:44,2018-07-12 19:49:44,0.069s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:49:44,2018-07-12 19:49:44,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:49:44,2018-07-12 19:49:47,2.786s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:49:47,2018-07-12 19:49:47,0.012s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:49:47,2018-07-12 19:49:48,1.048s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:49:48,2018-07-12 19:49:48,0.413s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:49:48,2018-07-12 19:49:54,5.673s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:49:54,2018-07-12 19:49:57,2.752s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:49:57,2018-07-12 19:49:58,0.905s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:49:58,2018-07-12 19:49:59,1.569s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:49:59,2018-07-12 19:49:59,0.133s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:49:59,2018-07-12 19:49:59,0.010s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:49:59,2018-07-12 19:50:02,2.053s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-12 19:50:02,2018-07-12 19:50:02,0.140s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:02,2018-07-12 19:50:02,0.755s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:02,2018-07-12 19:50:02,0.009s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:02,2018-07-12 19:50:04,1.537s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:04,2018-07-12 19:50:04,0.443s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:04,2018-07-12 19:50:04,0.008s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:04,2018-07-12 19:50:05,0.524s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:50:05,2018-07-12 19:50:09,3.938s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:09,2018-07-12 19:50:09,0.014s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:09,2018-07-12 19:50:09,0.530s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:50:09,2018-07-12 19:50:11,1.240s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:11,2018-07-12 19:50:11,0.018s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:11,2018-07-12 19:50:11,0.019s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-12 19:50:11,2018-07-12 19:50:12,1.065s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:12,2018-07-12 19:50:12,0.157s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:12,2018-07-12 19:50:12,0.012s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-12 19:50:12,2018-07-12 19:50:12,0.540s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-12 19:50:12,2018-07-12 19:50:13,0.094s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:13,2018-07-12 19:50:13,0.555s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:13,2018-07-12 19:50:14,0.659s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:14,2018-07-12 19:50:14,0.144s,PASSED
click,Chrome 67.0.3396.99,,2018-07-12 19:50:14,2018-07-12 19:50:15,0.774s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-12 19:50:15,2018-07-12 19:50:16,0.831s,PASSED
