Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddQuote,Chrome 67.0.3396.99,,2018-07-23 17:13:59,2018-07-23 17:14:47,48.233s,PASSED
,,,,,,
Test Cases/CRM/AddQuote,Chrome 67.0.3396.99,,2018-07-23 17:14:00,2018-07-23 17:14:47,47.600s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 17:14:01,2018-07-23 17:14:05,4.596s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-23 17:14:05,2018-07-23 17:14:07,1.840s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-23 17:14:07,2018-07-23 17:14:08,1.181s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:08,2018-07-23 17:14:09,0.461s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-23 17:14:09,2018-07-23 17:14:09,0.480s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:09,2018-07-23 17:14:10,0.535s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:10,2018-07-23 17:14:10,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:10,2018-07-23 17:14:10,0.213s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:10,2018-07-23 17:14:11,1.216s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:11,2018-07-23 17:14:12,0.298s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:12,2018-07-23 17:14:12,0.370s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-23 17:14:12,2018-07-23 17:14:12,0.170s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-23 17:14:12,2018-07-23 17:14:12,0.368s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-23 17:14:12,2018-07-23 17:14:13,0.365s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-23 17:14:13,2018-07-23 17:14:13,0.719s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-23 17:14:13,2018-07-23 17:14:14,0.334s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:14,2018-07-23 17:14:14,0.283s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:14,2018-07-23 17:14:14,0.239s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:14,2018-07-23 17:14:15,0.188s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:15,2018-07-23 17:14:15,0.174s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:15,2018-07-23 17:14:15,0.283s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:15,2018-07-23 17:14:16,1.029s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:16,2018-07-23 17:14:17,0.487s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-23 17:14:17,2018-07-23 17:14:17,0.099s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-23 17:14:17,2018-07-23 17:14:17,0.202s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-23 17:14:17,2018-07-23 17:14:17,0.022s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-23 17:14:17,2018-07-23 17:14:17,0.150s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:17,2018-07-23 17:14:17,0.171s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:17,2018-07-23 17:14:18,0.350s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:18,2018-07-23 17:14:18,0.436s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:18,2018-07-23 17:14:19,0.800s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:19,2018-07-23 17:14:19,0.454s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:19,2018-07-23 17:14:20,0.370s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:20,2018-07-23 17:14:20,0.178s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:20,2018-07-23 17:14:20,0.356s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:20,2018-07-23 17:14:21,0.500s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 17:14:21,2018-07-23 17:14:21,0.670s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:21,2018-07-23 17:14:22,0.284s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 17:14:22,2018-07-23 17:14:22,0.663s,PASSED
