Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShipping,Chrome 67.0.3396.99,,2018-07-10 14:44:09,2018-07-10 14:44:40,30.982s,PASSED
,,,,,,
Test Cases/CRM/AddShipping,Chrome 67.0.3396.99,,2018-07-10 14:44:10,2018-07-10 14:44:40,30.277s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 14:44:11,2018-07-10 14:44:14,3.564s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 14:44:14,2018-07-10 14:44:17,2.855s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-10 14:44:17,2018-07-10 14:44:18,1.198s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:18,2018-07-10 14:44:19,0.304s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:19,2018-07-10 14:44:19,0.169s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:19,2018-07-10 14:44:20,1.401s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:20,2018-07-10 14:44:20,0.151s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:20,2018-07-10 14:44:20,0.152s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:20,2018-07-10 14:44:21,0.883s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:21,2018-07-10 14:44:22,0.287s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:22,2018-07-10 14:44:22,0.233s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:44:22,2018-07-10 14:44:23,1.492s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:44:23,2018-07-10 14:44:24,0.986s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:44:24,2018-07-10 14:44:25,1.006s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:25,2018-07-10 14:44:26,0.375s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:44:26,2018-07-10 14:44:26,0.265s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:26,2018-07-10 14:44:26,0.203s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:26,2018-07-10 14:44:26,0.201s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:44:26,2018-07-10 14:44:27,0.096s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:27,0.156s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:27,0.135s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:27,0.020s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:27,0.193s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:27,0.184s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:27,0.179s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:44:27,2018-07-10 14:44:28,0.178s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:28,2018-07-10 14:44:28,0.140s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-10 14:44:28,2018-07-10 14:44:28,0.123s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:44:28,2018-07-10 14:44:28,0.537s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:44:28,2018-07-10 14:44:29,0.400s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:29,2018-07-10 14:44:30,1.017s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:44:30,2018-07-10 14:44:31,1.555s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-10 14:44:31,2018-07-10 14:44:31,0.107s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:31,2018-07-10 14:44:32,0.138s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:44:32,2018-07-10 14:44:34,2.062s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-10 14:44:34,2018-07-10 14:44:34,0.091s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:34,2018-07-10 14:44:34,0.441s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:44:34,2018-07-10 14:44:38,3.326s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:38,2018-07-10 14:44:38,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:44:38,2018-07-10 14:44:39,0.916s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:44:39,2018-07-10 14:44:39,0.854s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:44:39,2018-07-10 14:44:39,0.018s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 14:44:39,2018-07-10 14:44:40,0.848s,PASSED
