Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddUserRoleManagement,Chrome 67.0.3396.99,,2018-07-18 14:58:49,2018-07-18 14:59:54,1m - 5.397s,FAILED
,,,,,,
Test Cases/CRM/AddUserRoleManagment,Chrome 67.0.3396.99,,2018-07-18 14:58:49,2018-07-18 14:59:53,1m - 3.671s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-18 14:58:50,2018-07-18 14:58:54,3.592s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-18 14:58:54,2018-07-18 14:59:01,6.887s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-18 14:59:01,2018-07-18 14:59:02,1.171s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:02,2018-07-18 14:59:03,0.539s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-18 14:59:03,2018-07-18 14:59:03,0.449s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:03,2018-07-18 14:59:07,3.513s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:07,2018-07-18 14:59:07,0.141s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:07,2018-07-18 14:59:07,0.198s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-18 14:59:07,2018-07-18 14:59:07,0.147s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:07,2018-07-18 14:59:09,1.752s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-18 14:59:09,2018-07-18 14:59:10,1.564s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:10,2018-07-18 14:59:11,0.664s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:11,2018-07-18 14:59:12,0.573s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:12,2018-07-18 14:59:12,0.472s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-18 14:59:12,2018-07-18 14:59:12,0.223s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-18 14:59:12,2018-07-18 14:59:13,0.237s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-18 14:59:13,2018-07-18 14:59:13,0.429s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:13,2018-07-18 14:59:13,0.386s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:13,2018-07-18 14:59:14,0.325s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:14,2018-07-18 14:59:14,0.208s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:14,2018-07-18 14:59:14,0.172s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:14,2018-07-18 14:59:14,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:14,2018-07-18 14:59:14,0.153s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:14,2018-07-18 14:59:14,0.132s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:14,2018-07-18 14:59:15,0.097s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:15,2018-07-18 14:59:15,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:15,2018-07-18 14:59:15,0.194s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:15,2018-07-18 14:59:15,0.172s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:15,2018-07-18 14:59:15,0.341s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:15,2018-07-18 14:59:16,0.304s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-18 14:59:16,2018-07-18 14:59:19,3.505s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:19,2018-07-18 14:59:20,0.333s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:20,2018-07-18 14:59:20,0.298s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-18 14:59:20,2018-07-18 14:59:20,0.235s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-18 14:59:20,2018-07-18 14:59:20,0.383s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:20,2018-07-18 14:59:21,0.199s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-18 14:59:21,2018-07-18 14:59:21,0.052s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-18 14:59:21,2018-07-18 14:59:21,0.544s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 14:59:21,2018-07-18 14:59:53,31.806s,FAILED
