Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddWarehouse,Chrome 67.0.3396.99,,2018-07-16 18:42:09,2018-07-16 18:42:33,23.684s,FAILED
,,,,,,
Test Cases/CRM/AddWarehouse,Chrome 67.0.3396.99,,2018-07-16 18:42:10,2018-07-16 18:42:32,22.191s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-16 18:42:11,2018-07-16 18:42:14,3.771s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-16 18:42:14,2018-07-16 18:42:24,9.408s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-16 18:42:24,2018-07-16 18:42:25,1.211s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-16 18:42:25,2018-07-16 18:42:25,0.426s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-16 18:42:25,2018-07-16 18:42:26,0.412s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:26,2018-07-16 18:42:29,2.802s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:29,2018-07-16 18:42:29,0.129s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:29,2018-07-16 18:42:29,0.165s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:29,2018-07-16 18:42:29,0.607s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:29,2018-07-16 18:42:30,0.134s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:30,2018-07-16 18:42:30,0.395s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:30,2018-07-16 18:42:32,1.719s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:42:32,2018-07-16 18:42:32,0.354s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-16 18:42:32,2018-07-16 18:42:32,0.057s,FAILED
