Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddZone,Chrome 67.0.3396.99,,2018-07-16 19:51:35,2018-07-16 19:52:04,29.379s,PASSED
,,,,,,
Test Cases/CRM/AddZone,Chrome 67.0.3396.99,,2018-07-16 19:51:35,2018-07-16 19:52:04,28.767s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-16 19:51:36,2018-07-16 19:51:39,3.551s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-16 19:51:39,2018-07-16 19:51:52,13.073s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-16 19:51:52,2018-07-16 19:51:54,1.207s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-16 19:51:54,2018-07-16 19:51:54,0.319s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-16 19:51:54,2018-07-16 19:51:54,0.442s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:51:54,2018-07-16 19:51:56,1.659s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-16 19:51:56,2018-07-16 19:51:56,0.100s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:51:56,2018-07-16 19:51:56,0.207s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:51:56,2018-07-16 19:51:57,0.409s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:51:57,2018-07-16 19:51:58,1.426s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:51:58,2018-07-16 19:51:59,0.507s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-16 19:51:59,2018-07-16 19:51:59,0.261s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-16 19:51:59,2018-07-16 19:52:00,0.702s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:52:00,2018-07-16 19:52:00,0.154s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-16 19:52:00,2018-07-16 19:52:00,0.037s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-16 19:52:00,2018-07-16 19:52:00,0.529s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-16 19:52:00,2018-07-16 19:52:00,0.149s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:52:00,2018-07-16 19:52:01,0.723s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:52:01,2018-07-16 19:52:02,0.420s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:52:02,2018-07-16 19:52:02,0.405s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 19:52:02,2018-07-16 19:52:03,1.082s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-16 19:52:03,2018-07-16 19:52:04,0.842s,PASSED
