Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AssignBookingToDriver,Chrome 67.0.3396.99,,2018-07-23 14:16:57,2018-07-23 14:17:58,1m - 1.450s,PASSED
,,,,,,
Test Cases/CRM/AssignBookingToDriver,Chrome 67.0.3396.99,,2018-07-23 14:16:58,2018-07-23 14:17:58,1m - 0.751s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 14:16:58,2018-07-23 14:17:04,5.725s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-23 14:17:04,2018-07-23 14:17:07,2.774s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-23 14:17:07,2018-07-23 14:17:09,2.160s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-23 14:17:09,2018-07-23 14:17:13,4.339s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-23 14:17:13,2018-07-23 14:17:17,3.449s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:17,2018-07-23 14:17:19,2.524s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:19,2018-07-23 14:17:21,2.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:21,2018-07-23 14:17:23,2.134s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:23,2018-07-23 14:17:26,2.651s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:26,2018-07-23 14:17:28,2.197s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-23 14:17:28,2018-07-23 14:17:31,3.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:31,2018-07-23 14:17:33,2.118s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:33,2018-07-23 14:17:36,2.161s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:36,2018-07-23 14:17:38,2.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:38,2018-07-23 14:17:40,2.195s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:40,2018-07-23 14:17:42,2.197s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:42,2018-07-23 14:17:44,2.203s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-23 14:17:44,2018-07-23 14:17:47,3.118s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:47,2018-07-23 14:17:50,2.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:50,2018-07-23 14:17:52,2.442s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:52,2018-07-23 14:17:54,2.178s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 14:17:54,2018-07-23 14:17:57,2.351s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 14:17:57,2018-07-23 14:17:58,1.743s,PASSED
