Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
InputExistingEmailInBookNow,Chrome 67.0.3396.99,,2018-07-31 18:46:13,2018-07-31 18:46:26,13.241s,PASSED
,,,,,,
Test Cases/CRMLogicalFlow/Frontend/InputExistingEmailInBookNow,Chrome 67.0.3396.99,,2018-07-31 18:46:13,2018-07-31 18:46:26,12.516s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-31 18:46:13,2018-07-31 18:46:17,3.525s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-31 18:46:17,2018-07-31 18:46:19,2.245s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-31 18:46:19,2018-07-31 18:46:21,1.164s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-31 18:46:21,2018-07-31 18:46:21,0.684s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 18:46:21,2018-07-31 18:46:21,0.205s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-31 18:46:21,2018-07-31 18:46:22,0.105s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 18:46:22,2018-07-31 18:46:23,1.017s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-31 18:46:23,2018-07-31 18:46:23,0.065s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-31 18:46:23,2018-07-31 18:46:23,0.601s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-31 18:46:23,2018-07-31 18:46:24,0.499s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 18:46:24,2018-07-31 18:46:24,0.374s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 18:46:24,2018-07-31 18:46:24,0.122s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 18:46:24,2018-07-31 18:46:25,0.567s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-31 18:46:25,2018-07-31 18:46:26,0.860s,PASSED
