Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddAdministrator,Chrome 68.0.3440.106,,2018-09-05 17:00:28,2018-09-05 17:00:55,26.963s,PASSED
,,,,,,
Test Cases/CRM/URM/AddAdministrator,Chrome 68.0.3440.106,,2018-09-05 17:00:29,2018-09-05 17:00:55,26.193s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 17:00:29,2018-09-05 17:00:33,3.429s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 17:00:33,2018-09-05 17:00:35,1.998s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:35,2018-09-05 17:00:35,0.435s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 17:00:35,2018-09-05 17:00:36,0.502s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:36,2018-09-05 17:00:36,0.730s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 17:00:36,2018-09-05 17:00:37,0.325s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 17:00:37,2018-09-05 17:00:37,0.317s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:37,2018-09-05 17:00:37,0.265s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:37,2018-09-05 17:00:38,0.291s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:38,2018-09-05 17:00:38,0.482s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:38,2018-09-05 17:00:39,0.529s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:39,2018-09-05 17:00:39,0.443s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 17:00:39,2018-09-05 17:00:39,0.195s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 17:00:39,2018-09-05 17:00:39,0.182s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-05 17:00:39,2018-09-05 17:00:40,0.338s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:40,2018-09-05 17:00:40,0.297s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:40,2018-09-05 17:00:40,0.284s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:40,2018-09-05 17:00:41,0.270s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:41,2018-09-05 17:00:41,0.229s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-05 17:00:41,2018-09-05 17:00:44,3.450s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:44,2018-09-05 17:00:45,0.337s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:45,2018-09-05 17:00:45,0.258s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:00:45,2018-09-05 17:00:45,0.217s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-05 17:00:45,2018-09-05 17:00:46,0.703s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:46,2018-09-05 17:00:46,0.205s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:46,2018-09-05 17:00:46,0.189s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:46,2018-09-05 17:00:46,0.142s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:46,2018-09-05 17:00:47,0.190s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:47,2018-09-05 17:00:47,0.206s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:47,2018-09-05 17:00:47,0.178s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:47,2018-09-05 17:00:47,0.184s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:47,2018-09-05 17:00:47,0.141s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 17:00:47,2018-09-05 17:00:52,4.440s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 17:00:52,2018-09-05 17:00:52,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:52,2018-09-05 17:00:52,0.644s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 17:00:52,2018-09-05 17:00:54,1.621s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 17:00:54,2018-09-05 17:00:54,0.016s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:54,2018-09-05 17:00:54,0.158s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:00:54,2018-09-05 17:00:55,0.339s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-05 17:00:55,2018-09-05 17:00:55,0.674s,PASSED
