Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddUserStaff,Chrome 68.0.3440.106,,2018-09-05 16:46:50,2018-09-05 16:47:20,29.362s,PASSED
,,,,,,
Test Cases/CRM/URM/AddUserStaff,Chrome 68.0.3440.106,,2018-09-05 16:46:51,2018-09-05 16:47:19,28.038s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 16:46:51,2018-09-05 16:46:55,3.997s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 16:46:55,2018-09-05 16:46:58,2.489s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:46:58,2018-09-05 16:46:58,0.432s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 16:46:58,2018-09-05 16:46:59,0.405s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:46:59,2018-09-05 16:46:59,0.607s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 16:46:59,2018-09-05 16:46:59,0.102s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 16:46:59,2018-09-05 16:47:00,0.100s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:00,2018-09-05 16:47:00,0.182s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:00,2018-09-05 16:47:00,0.212s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:00,2018-09-05 16:47:01,0.606s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:01,2018-09-05 16:47:02,0.988s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:02,2018-09-05 16:47:02,0.531s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 16:47:02,2018-09-05 16:47:02,0.226s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 16:47:02,2018-09-05 16:47:03,0.328s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-05 16:47:03,2018-09-05 16:47:03,0.403s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:03,2018-09-05 16:47:03,0.345s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:03,2018-09-05 16:47:04,0.413s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:04,2018-09-05 16:47:04,0.166s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:04,2018-09-05 16:47:04,0.206s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:04,2018-09-05 16:47:04,0.159s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:04,2018-09-05 16:47:05,0.177s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:05,2018-09-05 16:47:05,0.179s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:05,2018-09-05 16:47:05,0.175s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:05,2018-09-05 16:47:05,0.157s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:05,2018-09-05 16:47:05,0.344s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:05,2018-09-05 16:47:06,0.277s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-05 16:47:06,2018-09-05 16:47:09,3.589s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:09,2018-09-05 16:47:10,0.457s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:10,2018-09-05 16:47:10,0.304s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:10,2018-09-05 16:47:10,0.283s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-05 16:47:10,2018-09-05 16:47:11,0.654s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:11,2018-09-05 16:47:11,0.235s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 16:47:11,2018-09-05 16:47:17,5.645s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 16:47:17,2018-09-05 16:47:17,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:17,2018-09-05 16:47:17,0.563s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 16:47:17,2018-09-05 16:47:17,0.037s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 16:47:17,2018-09-05 16:47:18,1.054s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 16:47:18,2018-09-05 16:47:19,0.256s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:19,2018-09-05 16:47:19,0.109s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 16:47:19,2018-09-05 16:47:19,0.290s,PASSED
