Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminLogin,Firefox 61.0,,2018-09-05 16:42:54,2018-09-05 16:43:11,16.946s,PASSED
,,,,,,
Test Cases/CRM/URM/AdminLogin,Firefox 61.0,,2018-09-05 16:42:54,2018-09-05 16:43:11,16.288s,PASSED
openBrowser,Firefox 61.0,,2018-09-05 16:42:55,2018-09-05 16:43:01,6.405s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-05 16:43:01,2018-09-05 16:43:04,2.464s,PASSED
maximizeWindow,Firefox 61.0,,2018-09-05 16:43:04,2018-09-05 16:43:07,3.544s,PASSED
setText,Firefox 61.0,,2018-09-05 16:43:07,2018-09-05 16:43:07,0.231s,PASSED
setEncryptedText,Firefox 61.0,,2018-09-05 16:43:07,2018-09-05 16:43:08,0.342s,PASSED
click,Firefox 61.0,,2018-09-05 16:43:08,2018-09-05 16:43:09,1.317s,PASSED
waitForPageLoad,Firefox 61.0,,2018-09-05 16:43:09,2018-09-05 16:43:09,0.079s,PASSED
waitForJQueryLoad,Firefox 61.0,,2018-09-05 16:43:09,2018-09-05 16:43:09,0.071s,PASSED
click,Firefox 61.0,,2018-09-05 16:43:09,2018-09-05 16:43:09,0.300s,PASSED
waitForPageLoad,Firefox 61.0,,2018-09-05 16:43:09,2018-09-05 16:43:09,0.013s,PASSED
waitForJQueryLoad,Firefox 61.0,,2018-09-05 16:43:09,2018-09-05 16:43:09,0.049s,PASSED
click,Firefox 61.0,,2018-09-05 16:43:09,2018-09-05 16:43:10,0.276s,PASSED
waitForPageLoad,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:10,0.011s,PASSED
waitForJQueryLoad,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:10,0.027s,PASSED
click,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:10,0.341s,PASSED
waitForPageLoad,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:10,0.011s,PASSED
waitForJQueryLoad,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:10,0.021s,PASSED
click,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:10,0.111s,PASSED
closeBrowser,Firefox 61.0,,2018-09-05 16:43:10,2018-09-05 16:43:11,0.407s,PASSED
