Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
StaffUserLogin,Chrome 68.0.3440.106,,2018-09-05 17:16:52,2018-09-05 17:17:04,11.474s,PASSED
,,,,,,
Test Cases/CRM/URM/StaffUserlogin,Chrome 68.0.3440.106,,2018-09-05 17:16:53,2018-09-05 17:17:04,10.749s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 17:16:53,2018-09-05 17:16:56,3.367s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-05 17:16:56,2018-09-05 17:16:58,1.593s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-05 17:16:58,2018-09-05 17:16:59,1.176s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-05 17:16:59,2018-09-05 17:17:00,0.499s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-05 17:17:00,2018-09-05 17:17:00,0.477s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:17:00,2018-09-05 17:17:01,0.711s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 17:17:01,2018-09-05 17:17:01,0.089s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 17:17:01,2018-09-05 17:17:01,0.085s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:17:01,2018-09-05 17:17:01,0.209s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:17:01,2018-09-05 17:17:02,0.280s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-05 17:17:02,2018-09-05 17:17:02,0.722s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:17:02,2018-09-05 17:17:02,0.174s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-09-05 17:17:02,2018-09-05 17:17:02,0.019s,PASSED
waitForJQueryLoad,Chrome 68.0.3440.106,,2018-09-05 17:17:02,2018-09-05 17:17:03,0.031s,PASSED
click,Chrome 68.0.3440.106,,2018-09-05 17:17:03,2018-09-05 17:17:03,0.363s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-05 17:17:03,2018-09-05 17:17:04,0.686s,PASSED
