Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ViewAllBookingsCRM,Chrome 67.0.3396.99,,2018-07-26 19:27:07,2018-07-26 19:28:39,1m - 32.197s,PASSED
,,,,,,
Test Cases/Demo/ViewAllBookingsCRM,Chrome 67.0.3396.99,,2018-07-26 19:27:08,2018-07-26 19:28:39,1m - 31.399s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 19:27:09,2018-07-26 19:27:16,6.899s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 19:27:16,2018-07-26 19:27:18,2.651s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-26 19:27:18,2018-07-26 19:27:20,2.166s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 19:27:20,2018-07-26 19:27:25,4.347s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 19:27:25,2018-07-26 19:27:28,3.489s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:28,2018-07-26 19:27:31,2.607s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:31,2018-07-26 19:27:33,2.181s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:33,2018-07-26 19:27:35,2.147s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:35,2018-07-26 19:27:38,2.488s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:38,2018-07-26 19:27:40,2.187s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-26 19:27:40,2018-07-26 19:27:42,2.093s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-26 19:27:42,2018-07-26 19:27:45,3.206s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:45,2018-07-26 19:27:47,2.125s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-26 19:27:47,2018-07-26 19:27:49,2.027s,PASSED
scrollToElement,Chrome 67.0.3396.99,,2018-07-26 19:27:49,2018-07-26 19:27:51,2.100s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-26 19:27:51,2018-07-26 19:27:54,3.119s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-26 19:27:54,2018-07-26 19:27:57,2.024s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:27:57,2018-07-26 19:27:59,2.160s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ObjectViewBookingsCRM/Page_/a_JBCO000000135), 10) == true)",Chrome 67.0.3396.99,,2018-07-26 19:27:59,2018-07-26 19:28:09,10.384s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-26 19:28:09,2018-07-26 19:28:11,2.022s,PASSED
scrollToElement,Chrome 67.0.3396.99,,2018-07-26 19:28:11,2018-07-26 19:28:13,2.051s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-26 19:28:13,2018-07-26 19:28:16,3.079s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-26 19:28:16,2018-07-26 19:28:18,2.015s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:28:18,2018-07-26 19:28:20,2.149s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ObjectViewBookingsCRM/Page_/a_JBCO000000115), 10) == true)",Chrome 67.0.3396.99,,2018-07-26 19:28:20,2018-07-26 19:28:33,12.482s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:28:33,2018-07-26 19:28:35,2.176s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 19:28:35,2018-07-26 19:28:37,2.374s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 19:28:37,2018-07-26 19:28:39,1.965s,PASSED
