Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginandRequestAQuote,Chrome 67.0.3396.99,,2018-07-10 14:47:13,2018-07-10 14:47:35,21.813s,FAILED
,,,,,,
Test Cases/WebsitesFrontend/LoginandMakeABookingAsNO,Chrome 67.0.3396.99,,2018-07-10 14:47:13,2018-07-10 14:47:34,20.591s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 14:47:14,2018-07-10 14:47:17,3.297s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 14:47:17,2018-07-10 14:47:21,3.608s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-10 14:47:21,2018-07-10 14:47:22,1.170s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:47:22,2018-07-10 14:47:22,0.574s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:22,2018-07-10 14:47:23,0.551s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:23,2018-07-10 14:47:23,0.215s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:23,2018-07-10 14:47:24,1.032s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:47:24,2018-07-10 14:47:25,0.579s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:25,2018-07-10 14:47:26,0.955s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:47:26,2018-07-10 14:47:26,0.273s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:47:26,2018-07-10 14:47:26,0.244s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:47:26,2018-07-10 14:47:27,0.517s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:47:27,2018-07-10 14:47:28,0.761s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:28,2018-07-10 14:47:28,0.181s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:28,2018-07-10 14:47:28,0.184s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-10 14:47:28,2018-07-10 14:47:29,1.021s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:29,2018-07-10 14:47:29,0.194s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:29,2018-07-10 14:47:29,0.135s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:29,2018-07-10 14:47:29,0.134s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:29,2018-07-10 14:47:30,0.123s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:30,2018-07-10 14:47:30,0.169s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:30,2018-07-10 14:47:30,0.524s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:30,2018-07-10 14:47:31,0.266s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:31,2018-07-10 14:47:31,0.182s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:31,2018-07-10 14:47:31,0.343s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:31,2018-07-10 14:47:31,0.139s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:31,2018-07-10 14:47:32,0.437s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:32,2018-07-10 14:47:32,0.190s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:32,2018-07-10 14:47:32,0.241s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:32,2018-07-10 14:47:32,0.176s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:32,2018-07-10 14:47:32,0.253s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 14:47:32,2018-07-10 14:47:33,0.399s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:33,2018-07-10 14:47:33,0.188s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-10 14:47:33,2018-07-10 14:47:33,0.169s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:47:33,2018-07-10 14:47:34,0.588s,FAILED
