Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyLinksintheWebsite,Chrome 67.0.3396.99,,2018-07-10 13:09:26,2018-07-10 13:09:49,22.979s,PASSED
,,,,,,
Test Cases/WebsitesFrontend/VerifyLinksinWebsites,Chrome 67.0.3396.99,,2018-07-10 13:09:27,2018-07-10 13:09:49,22.462s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 13:09:27,2018-07-10 13:09:31,3.350s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 13:09:31,2018-07-10 13:09:35,3.919s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:35,2018-07-10 13:09:35,0.819s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:35,2018-07-10 13:09:36,0.959s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:36,2018-07-10 13:09:37,0.431s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:37,2018-07-10 13:09:37,0.728s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:37,2018-07-10 13:09:38,0.696s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:38,2018-07-10 13:09:40,1.349s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:40,2018-07-10 13:09:40,0.402s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:40,2018-07-10 13:09:41,0.813s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:41,2018-07-10 13:09:41,0.410s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:41,2018-07-10 13:09:42,0.739s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:42,2018-07-10 13:09:42,0.402s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:42,2018-07-10 13:09:42,0.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:42,2018-07-10 13:09:43,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:43,2018-07-10 13:09:43,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:43,2018-07-10 13:09:43,0.108s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:43,2018-07-10 13:09:43,0.175s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:43,2018-07-10 13:09:43,0.170s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:43,2018-07-10 13:09:43,0.212s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:43,2018-07-10 13:09:44,0.149s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:44,0.135s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:44,0.114s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:44,0.133s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:44,0.168s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:44,0.146s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:44,0.153s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:44,2018-07-10 13:09:45,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:45,2018-07-10 13:09:45,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:45,2018-07-10 13:09:45,0.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:45,2018-07-10 13:09:46,0.668s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:46,2018-07-10 13:09:46,0.717s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:46,2018-07-10 13:09:47,0.440s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:47,2018-07-10 13:09:47,0.407s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 13:09:47,2018-07-10 13:09:48,0.618s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 13:09:48,2018-07-10 13:09:48,0.670s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 13:09:48,2018-07-10 13:09:49,0.799s,PASSED
