Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebsiteVerifyLinksAndSignUp,Chrome 67.0.3396.99,,2018-07-10 14:50:10,2018-07-10 14:50:45,35.089s,PASSED
,,,,,,
Test Cases/WebsitesFrontend/VerifyLinksinWebsites,Chrome 67.0.3396.99,,2018-07-10 14:50:11,2018-07-10 14:50:32,21.471s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 14:50:12,2018-07-10 14:50:15,3.417s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 14:50:15,2018-07-10 14:50:18,3.392s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:50:18,2018-07-10 14:50:19,0.792s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:19,2018-07-10 14:50:20,0.785s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:50:20,2018-07-10 14:50:20,0.445s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:20,2018-07-10 14:50:21,0.740s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:50:21,2018-07-10 14:50:22,0.677s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:22,2018-07-10 14:50:23,1.144s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:50:23,2018-07-10 14:50:23,0.422s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:23,2018-07-10 14:50:24,0.705s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:50:24,2018-07-10 14:50:24,0.452s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:24,2018-07-10 14:50:25,0.789s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 14:50:25,2018-07-10 14:50:26,0.425s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:26,2018-07-10 14:50:26,0.193s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:26,2018-07-10 14:50:26,0.273s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:26,2018-07-10 14:50:26,0.136s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:26,2018-07-10 14:50:26,0.139s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:26,2018-07-10 14:50:27,0.115s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:27,2018-07-10 14:50:27,0.117s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:27,2018-07-10 14:50:27,0.138s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:27,2018-07-10 14:50:27,0.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:27,2018-07-10 14:50:27,0.115s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:27,2018-07-10 14:50:27,0.117s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 14:50:27,2018-07-10 14:50:27,0.134s,PASSED
